#x_m,y_m,w_tr_right_m,w_tr_left_m
-68.97255914210506,53.882762741378684,0.8592,0.9226675394398921
-69.03051914210505,53.824802741378676,0.910240330512911,0.8721684582004414
-70.24767914210506,53.824802741378676,0.8387333215463574,0.91716
-70.30563914210505,53.76684274137868,0.8821566840313511,0.8606480955052656
-70.94319914210506,53.76684274137868,0.8387333215463574,0.91716
-71.00115914210505,53.70888274137867,0.8821566840313511,0.8606480955052656
-71.46483914210505,53.70888274137867,0.8387333215463574,0.91716
-71.52279914210506,53.65092274137868,0.8821566840313511,0.8606480955052656
-71.92851914210506,53.65092274137868,0.8387333215463574,0.91716
-71.98647914210505,53.592962741378685,0.8821566840313511,0.8606480955052656
-72.33423914210505,53.592962741378685,0.8387333215463574,0.91716
-72.39219914210506,53.535002741378676,0.8821566840313511,0.8606480955052656
-72.73995914210505,53.535002741378676,0.854844818666127,0.91716
-72.79791914210506,53.47704274137868,0.894876010303998,0.8606480955052656
-73.20363914210506,53.47704274137868,0.8387333215463574,0.91716
-73.26159914210506,53.41908274137867,0.8821566840313511,0.8606480955052656
-73.60935914210505,53.41908274137867,0.8387333215463574,0.91716
-73.66731914210506,53.36112274137868,0.8821566840313511,0.8606480955052656
-74.07303914210506,53.36112274137868,0.8387333215463574,0.91716
-74.13099914210505,53.303162741378685,0.8821566840313511,0.8606480955052656
-74.47875914210505,53.303162741378685,0.8592,0.9226675394398921
-74.53671914210506,53.24520274137868,0.910240330512911,0.8721684582004414
-74.82651914210506,53.24520274137868,0.8606480955052656,0.9390432805999956
-74.88447914210505,53.18724274137868,0.91716,0.894876010303998
-75.11631914210506,53.18724274137868,0.91716,0.9711620390807774
-75.17427914210505,53.129282741378674,0.97512,0.9444539756857221
-75.29019914210505,53.129282741378674,0.9658655075480965,1.0024890049439956
-75.34815914210506,53.07132274137868,1.0076372028968892,0.986920847915675
-75.40611914210506,53.07132274137868,0.9960249997588781,1.0216913527749205
-75.46407914210505,53.013362741378685,1.0381105084409135,1.0140440869316372
-75.52203914210506,53.013362741378685,1.0216913527749205,1.053089824069341
-75.57999914210505,52.95540274137868,1.0568088136506189,1.053089824069341
